twitter_id,date,tweet,polarityPoints,avaragePolarity
twitter_id,date,tweet,0.0,0.0
381685623330848769,2013-09-22 07:45:18,"b""RT If you miss #AGentlemansDignity's Kim Do Jin ssi""",0.0,0.0
340835500757749760,2013-06-01 14:21:30,b'Thanks Facebook likers &amp; Twitter followers! Much love :*',"0.25,0.5",0.375
331390984527179777,2013-05-06 12:52:22,b'#JangDongGun &lt;3 http://t.co/ypXeSBAQJl',0.0,0.0
331390542019706880,2013-05-06 12:50:36,"b'I posted 4 photos on Facebook in the album ""Jang Dong Gun &amp; wife Ko So Young &lt;3"" http://t.co/dBLGm9yOew'",0.1,0.1
313640977271246852,2013-03-18 13:20:10,b'Who can resist his charm?? Oh jeeeezzz &lt;3 #JAngDongGun http://t.co/CRcehJSaXr',"0.0,0.0",0.0
308242881355866112,2013-03-03 15:50:04,"b'RT @JDG_KHN_Ph: #AGentlemansDignity ""Proposal"" ~ Isn\'t it the sweetest?? &lt;3 http://t.co/dJ0L1vcTvr'","0.0,0.0",0.0
308242139991658496,2013-03-03 15:47:07,b'RT If you miss #AGentlemansDigmity a lot! &lt;3',"0.0,0.0",0.0
303857766307610625,2013-02-19 13:25:11,b'#AGentlemansDignity Final week! Keep on watching Xoxo! #JangDongGun',"0.0,0.0,0.0",0.0
298803133306507266,2013-02-05 14:39:53,b'Si Dennis at Irene na uli!! Ayiiii oh FEB-ibig &lt;3 Tutok lang lagi #AGentlemansDignity 4PM sa ABS-CBN for more... http://t.co/JeRbAePb',"0.0,0.5",0.25
298802213369827329,2013-02-05 14:36:13,"b""RT @IamJNYRSU: @JangDongGun_ph @aGentlemansdig :D Fan Art by me ^^ Hope i can give it to him personally.. That's my wish.. ^^ hop http:/ ...""",0.5,0.5
292314008046944256,2013-01-18 16:54:25,b'MAS PINAAGANG #AGENTLEMANSDIGNITY PO SIMULA NGAYONG LUNES! 4PM sa @Abs-Cbn',"0.0,0.0",0.0
289262625362161664,2013-01-10 06:49:18,"b'I posted 47 photos on Facebook in the album ""Jang Dong Gun &amp; wife Ko So Young &lt;3"" http://t.co/X2G8gr8T'",0.1,0.1
289213853298999297,2013-01-10 03:35:30,b'Jang Dong Gun oppa looks like Vic Zhou of F4 Taiwan here.. Agree?? &lt;3 http://t.co/YlMKvkvR',"0.0,0.0,0.0",0.0
289211911394975744,2013-01-10 03:27:47,"b'RT @JDG_KHN_Ph: Dennis Kim\'s ""cha cha cha"" dance ;) Abangan bukas! #AGentlemansDignity #JangDongGun http://t.co/jGyOXmX2'","0.3125,0.0",0.15625
286825424221261824,2013-01-03 13:24:44,"b'RT @JDG_KHN_Ph: ""ONE-SIDED Love Manual"" by Dennis Kim/ Kim Do jin #AGentlemansDignity #OneSidedLove  http://t.co/ACD7rTnr'",0.5,0.5
282502923089494016,2012-12-22 15:08:40,"b'Original f4! (Lee Byung Hun, Song Seung Hun, Won Bin and Jang Dong Gun) &lt;3 http://t.co/J5oANCne'","0.46875,0.0",0.234375
281413881618894850,2012-12-19 15:01:12,"b""Jang Dong Gun &amp; wife Ko So Young,  the two tied the knot on May 2, 2010 at Seoul's Shilla Hotel. http://t.co/wACDlhqe""","0.1,0.0",0.05
281323712626708480,2012-12-19 09:02:54,b'Ansaveeh ng shades nila Dennis at Tristan?? &lt;3 #AGentlemansDignity http://t.co/IEpOTL9V',"0.0,0.0",0.0
281209847230382080,2012-12-19 01:30:26,b'MORE THAN ME by #JangDongGun #AGentlemansDignity OST - http://t.co/DcVi4lxJ',0.5,0.5
280900976527941632,2012-12-18 05:03:06,b'Kim Do-jin (Dennis Kim) *grin #OppaDojinStyle #AGentlemansDignity #JangDongGun http://t.co/zdSGMCPC',0.0,0.0
280673943914962945,2012-12-17 14:00:57,b'RT kung love niyo si Dennis Kim! \xe2\x99\xa5 #AGentlemansDignity #JangDongGun',"0.625,0.0",0.3125
280673536115355649,2012-12-17 13:59:20,"b'RT @JDG_KHN_Ph: ""Oppa Do-jin Style!!"" Abangan bukas sa #AGentlemansDignity 4:15PM #JangDongGun #KimHaNeul http://t.co/sXEZfhxN'","0.0,0.0",0.0
278332121263767553,2012-12-11 02:55:23,"b'Ang ating cool na oppa, Dennis Kim! &lt;3 #AGentlemansDignity 4:15PM http://t.co/63tBqUpC'","0.4375,0.0",0.21875
277272062794551296,2012-12-08 04:43:05,"b""#AGentlemansDignity 's DENNIS KIM &lt;3 Follow na! :D""","0.0,1.0",0.5
